_t4 		oh there's that siren noise . 
_t4 		I'm coming over here . 
_t4 		oh dear . 
_t4 		let's get motorcycle chicken .
_t4 		what happened to motorcycle chicken ,  here he is . 
_t4 		oh dear .
_t4 		oh dear said Mommy . 
_t4 		can you come back here please ? 
_t4 		I brought the pteradon over here . 
_t4 		the pteradon is right here . 
_t4 		well I brought the pteradon back so we can put it in the puzzle where it belongs . 
_t4 		yes that's exactly where it belongs you know the answer . 
_t4 		can you put it back in there ? 
_t4 		do you want some help ?
_t4 		want me to help you ? 
_t4 		okay let's do it together .
_t4 		can you hold it too . 
_t4 		let's both hold it .
_t4 		there we both did it .
_t4 		xxx .
_t4 		wanna hold it together ? 
_t4 		okay you hold it too . 
_t4 		okay .
_t4 		hey I'm not doing it right . 
_t4 		here okay you hold it too . 
_t4 		there . 
_t4 		I think that is 
_t4 		should we put it back together ? 
_t4 		can you hold it too ?
_t4 		yep [: yes] .
_t4 		can you hold it too ? 
_t4 		okay .
_t4 		push over here . 
_t4 		let('s) see well it's too small for that spot .
_t4 		xxx tr(y) tr(y) try another one . 
_t4 		see if goes somewhere else . 
_t4 		it doesn't really look +... 
_t4 		yeah .
_t4 		let's do it hold it together . 
_t4 		Mommy and Naima can put it back together . 
_t4 		there . 
_t4 		that's the spinosaurus . 
_t4 		what's that ? 
_t4 		that's the right yes you did it all by yourself . 
_t4 		you didn't need me to help you with that . 
_t4 		that was the styracosaurus . 
_t4 		that's the styracosaurus .
_t4 		this one is tyrannosaurus rex . 
_t4 		and he goes there . 
_t4 		you wanna put him in ? 
_t4 		there you did it . 
_t4 		now all the dinosaurs are back where they belong . 
_t4 		now we'll take off the sticker . 
_t4 		yeah here's a white price sticker on this .
_t4 		I'm taking it off with my fingernail .
_t4 		mmmm  . 
_t4 		with my finger nails right .
_t4 		letters , yeah there are letters . 
_t4 		well there are numbers actually on this sticker . 
_t4 		okay . 
_t4 		all done . 
_t4 		um today is eleven , twelve , thirteen , fourteen it's Columbus Day .
_t4 		October fourteenth two thousand and two .
_t4 		and that means Naima is exactly nineteen months old happy birthday .
_t4 		happy birthday miss baby girl . 
_t4 		girl who's a girl . 
_t4 		oh where does that go ?
_t4 		that is triceratops I think . 
_t4 		try that one . 
_t4 		yeah . 
_t4 		there you did it .
_t4 		motorcycle chicken is gonna watch you do it . 
_t4 		put them back in . 
_t4 		it is i(t')s a stegosaurus . 
_t4 		wanna do it together ? 
_t4 		you hold it too Naima . 
_t4 		hey let's put you put it in if you put it in kinda [: kind of] gently it's easier . 
_t4 		so you can kinda wiggle it around . 
_t4 		okay do it around I said wiggle around  .
_t4 		forget  don't forget the spinosaurus . 
_t4 		that's the tyrannosaurus rex . 
_t4 		that's a big mouthful .
_t4 		don't forget the tyrannosaurus rex .
_t4 		tyrannosaurus +...
_t4 		right . 
_t4 		there you did it you put him back where he belongs . 
_t4 		don't forget the pteradon the pteradon is a bird dinosaur . 
_t4 		don't forget the pteradon .
_t4 		hmmm . 
_t4 		pteradon is there . 
_t4 		you have the spinosaurus in your hand . 
_t4 		well there's only one place left for it to go right ? 
_t4 		you're giving it to me we can do it together .
_t4 		tyrannosaurus rex decided to come out to play . 
_t4 		don't forget it . 
_t4 		don't forget it . 
_t4 		don't forget it .
_t4 		don't forget it . 
_t4 		xxx don't forget tyrannosaurus rex . 
_t4 		oh I wanna go back  where I belong right here . 
_t4 		he belongs where . 
_t4 		where you about to say he belongs . 
_t4 		how do you know is not a she , it might be a she . 
_t4 		she belongs there . 
_t4 		there . 
_t4 		xxx . 
_t4 		you forgot it . 
_t4 		you left her out . 
_t4 		that's c(alled) +//.
_t4 		forget it .
_t4 		well when you take one out that's not really forgetting it that is leaving it out . 
_t4 		we don't wanna leave it out . 
_t4 		you want to leave him out . 
_t4 		that is leaving him out . 
_t4 		or her . 
_t4 		leaving her out or leaving him out . 
_t4 		maybe ?
_t4 		maybe her . 
_t4 		we don't know if it's a woman tyrannosaurus rex or a man tyrannosaurus rex . 
_t4 		yeah you got it . 
_t4 		you almost got it . 
_t4 		what else is in that bag you know there's toys in that bag we haven't seen for a long time . 
_t4 		you hear the wind on the trees I hear that too . 
_t4 		well it is sorta [: sort of] wet out today ,  here's the pink shaky egg I wondered where that was . 
_t4 		I wondered where that was . 
_t4 		we have a blue one and a pink one . 
_t4 		the blue one is I think in your room somewhere . 
_t4 		who's hiding in the lion . 
_t4 		someone's dressed up like a lion . 
_t4 		who's dressed up like a lion . 
_t4 		for Halloween . 
_t4 		someone is in it . 
_t4 		someone's in the lion sock . 
_t4 		it is the guy . 
_t4 		the guy is in there he was dressed up like a lion for Halloween . 
_t4 		are you gonna dress up for Halloween ? 
_t4 		what's Naima let's get off this (be)cause it'll hurt your feet . 
_t4 		what what are you gonna are you gonna dress up for Halloween Naima ? 
_t4 		tyrannosaurus rex yeah . 
_t4 		forget him leave him out ? 
_t4 		you want to leave him out ? 
_t4 		are there kitty+cats in that book ? 
_t4 		is there is there a rex in that ? 
_t4 		in the word book I don't think so . 
