_d5930 		xxx are you giving me a present ? 
_d5930 		oh are you showing me something ?
_d5930 		yes . 
_d5930 		I see that . 
_d5930 		presents to plant . 
_d5930 		that's a nice kind of present . 
_d5930 		thank you . 
_d5930 		it's alright with me if you want to take the seeds out of that seed packet and put them in envelopes . 
_d5930 		that would be fine . 
_d5930 		while I'm sorting these seeds +//. 
_d5930 		today is Sunday +... 
_d5930 		April +...
_d5930 		eight +/.
_d5930 		you can do that if you want and put them in here if you feel like it . 
_d5930 		or just put them in here . 
_d5930 		did we say what was the date today ? 
_d5930 		do you remember ? 
_d5930 		was it the seventeenth or the eighteenth . 
_d5930 		(be)cause you looked at it on the calendar and so did I . 
_d5930 		the different color ? 
_d5930 		yeah bean seeds are not all the same color .
_d5930 		okay , signet marigold . 
_d5930 		it's okay you can pick them up .
_d5930 		those are big seeds . 
_d5930 		they're easy to find . 
_d5930 		sow indoors . 
_d5930 		lightly cover seed . 
_d5930 		harden often . 
_d5930 		okay . 
_d5930 		we will plant some of these and those today too . 
_d5930 		fever fuel . 
_d5930 		xxx  .
_d5930 		the ones that you have . 
_d5930 		right there , those brown ones . 
_d5930 		you can take them . 
_d5930 		xxx    . 
_d5930 		xxx  .
_d5930 		you can do that . 
_d5930 		you well we can plant them when it's time to plant them . 
_d5930 		you know those zinnias that we planted last year never came up . 
_d5930 		here's the package of seeds from the zinnias . 
_d5930 		that was kind of disappointing . 
_d5930 		what was funny . 
_d5930 		that they never came up ?
_d5930 		I know . 
_d5930 		sow seeds outdoors in early (.) spring . 
_d5930 		maybe we should +//. 
_d5930 		I think we might need to go to the garden store to get some (.) flats to put our seedlings in . 
_d5930 		we have some containers but we don't +//. 
_d5930 		we don't quite have enough . 
_d5930 		this is parsley . 
_d5930 		xxx . 
_d5930 		direct sunlight . 
_d5930 		and basically empty . 
_d5930 		carrots . 
_d5930 		yeah I think you're right . 
_d5930 		uh .
_d5930 		I know . 
_d5930 		best grown as a   crop .
_d5930 		plant in mid+june .
_d5931 		I don't think so . 
_d5931 		I don't know why the carrots didn't come up .
_d5931 		I've always had trouble growing carrots . 
_d5931 		I don't know if it's because of the soil . 
_d5931 		it's not the right kind of soil or what . 
_d5931 		these need to be planted in June . 
_d5931 		or July . 
_d5931 		what does it look like . 
_d5931 		(doe)s it look the same ? 
_d5931 		it doesn't look any different at all ? 
_d5931 		&aw . 
_d5931 		oh dear . 
_d5931 		right here .
_d5931 		orange zinger . 
_d5931 		those never came up either . 
_d5931 		they +//. 
_d5931 		actually we got plants but they didn't bloom . 
_d5931 		that's what happened . 
_d5931 		direct seed after last frost . 
_d5931 		okay it goes in that category . 
_d5931 		and this is the (.) chard . 
_d5931 		blooms during mid+spring . 
_d5931 		to mid+summer . 
_d5931 		the cal(endula) +//. 
_d5931 		well the +... 
_d5931 		zinnias never came up . 
_d5931 		there are two kinds of chard this year .
