_t4 		okay this tape is being recorded with the receiver plugged into the socket labeled mic . 
_t4 		and today is may +...
_t4 		yes ?
_t4 		uh+oh Daddy's having an emergency we have_to go take care of him okay ?
_t4 		come with me ?
_t4 		I think today is May twenty+first .
_t4 		yeah and I'm wearing a big (.) thing on my shirt .
_t4 		xxx .
_t4 		yes I understand .
_t4 		so do we have any +..?
_t4 		yes don't worry I'll take care of everything .
_t4 		sure .
_t4 		yeah Daddy's in the bathroom .
_t4 		we're going upstairs .
_t4 		xxx .
_t4 		thank you .
_t4 		that's the microphone .
_t4 		okay .
_t4 		let's get back to playing what were we playing ?
_t4 		what were we playing ?
_t4 		train ?
_t4 		I'm gonna make the train go fast .
_t4 		watch .
_t4 		train's gonna go fast .
_t4 		can you make the train go fast ?
_t4 		and here's the plane .
_t4 		woah under the bridge .
_t4 		woah  .
_t4 		bumped into the sofa .
_t4 		bumped into the sofa .
_t4 		oh .
_t4 		bump !
_t4 		woah  .
_t4 		hey (.) are we gonna record ?
_t4 		we are recording .
_t4 		we are recording   .
_t4 		uh  .
_t4 		woah .
_t4 		woah .
_t4 		woah .
_t4 		woah .
_t4 		here spread your legs a little .
_t4 		there it goes .
_t4 		he went under your legs .
_t4 		oooh (.) he bumped into the slide .
_t4 		he bumped into the slide .
_t4 		woah +//.
_t4 		buy ?
_t4 		what's the matter ?
_t4 		here's the lego car .
_t4 		hey how come it won't go is there sand in the wheels or something ?
_t4 		feels like there's sand in the wheels or something .
_t4 		well that's one way to solve it .
_t4 		click .
_t4 		I think Daddy went to +...
_t4 		check his email .
_t4 		click .
_t4 		yeah Daddy went into the other room .
_t4 		I don't know what he's doing .
_t4 		he has to eat his breakfast still .
_t4 		you and I had our breakfast already .
_t4 		I have a spoon .
_t4 		what a delicious car .
_t4 		you know how to eat with a spoon by yourself now don't you ?
_t4 		do you eat by yourself sometimes ?
_t4 		you put food on the spoon you put the spoon in the bowl .
_t4 		and you get the food onto the spoon .
_t4 		that's what you did this morning .
_t4 		you wanna look at a book together ?
_t4 		do you wanna +//?
_t4 		&aw are you resting ?
_t4 		oh resting .
_t4 		is it delicious whatever you're eating ?
_t4 		mmmm eating some food ?
_t4 		xxx pretty funny .
_t4 		you didn't tell me there was a press release +//.
_t4 		aspect and Alzheimer's this morning .
_t4 		representing data .
_t4 		well is it funny because he didn't tell you .
_t4 		well yeah we talked (.) y'know [: you know] a little (.) he might have mentioned it it's not like it's +...
_t4 		maybe he's just got too much on his mind to +...
_t4 		basket  she wants +...
_t4 		you to (.) spin her around in the basket +//.
_t4 		c'mere [: come here] I'll put you in the basket (.) Daddy got dizzy last time remember we're not gonna let Daddy do that anymore .
_t4 		did you drink the water I gave you by the way ?
_t4 		what's that ?
_t4 		did you drink the water I gave you ?
_t4 		I did drink the water ?
_t4 		no you're not doing it again because you got dizzy (.) you got dizzy .
