_t4 		hurt your toe ? 
_t4 		how bout [: about] if Mommy just gives it a kiss ? 
_t4 		where's the toe ? 
_t4 		o:h  . 
_t4 		I don't know , did you (.) smash it on the floor a little bit ? 
_t4 		today's May sixteenth . 
_t4 		mmmm+hmmm .
_t4 		let's look at this  , bunch of trucks here .
_t4 		okay , Koala you can listen .
_t4 		cmon [: come on] sit +//.
_t4 		oh you're gonna sit there Naima ? 
_t4 		okay .
_t4 		I am gon(na) [: going to] +//.
_t4 		I am gonna read it . 
_t4 		okay . 
_t4 		hey , they're having a picnic !
_t4 		I think they're sitting on a blanket actually .
_t4 		Miss Kitty Cat uses the bulldozer to cover the garbage with dirt . 
_t4 		oh this is the dump I think . 
_t4 		that's her right there . 
_t4 		yeah .
_t4 		she's using a bulldozer , she's driving a special truck +... 
_t4 		she's covering up the garbage with dirt at the dump . 
_t4 		that is a garbage truck . 
_t4 		yes . 
_t4 		it is .
_t4 		he's using a red truck , called a squasher downer . 
_t4 		and here's where they're recycling , see there's all the glass to be recycled is here . 
_t4 		all the aluminum to be recycled is here and all the newspaper is here . 
_t4 		this is the recycling truck . 
_t4 		all these pigs and cats are recycling . 
_t4 		some (.) glass containers . 
_t4 		who makes glass , dyou [: do you] remember ? 
_t4 		yeah .
_t4 		yeah .
_t4 		that pig's hair needs to be cut ? 
_t4 		it's a little bit cut ? 
_t4 		what are they eating ? 
_t4 		mmmm+hmmm . 
_t4 		o:h .
_t4 		they probably do have a nice smell . 
_t4 		looks like the red ones are tulips . 
_t4 		mmmm .
_t4 		those look like species tulips . 
_t4 		dya [: do you] remember when we were at the restaurant +... 
_t4 		on mother's day and we looked out the window . 
_t4 		and we saw one species tulip out the window . 
_t4 		and Daddy said +...
_t4 		I love species tulips . 
_t4 		hmmm .
_t4 		what did you do with  , tonight ? 
_t4 		oh , earlier today ? 
_t4 		you went to the children's museum .
_t4 		the Cape Cod children's museum while Mommy and Daddy went to the movies . 
_t4 		you were gonna go to the library but it was closed . 
_t4 		right ? 
_t4 		oh where ? 
_t4 		oh there were grape hyacinths there ?
_t4 		did you smell them ?
_t4 		those do have a smell . 
_t4 		shall we see what's on the next page ?
_t4 		I do love grape hyacinths . 
_t4 		they smell very nice . 
_t4 		yeah there it is .
_t4 		you think he needs help because +..? 
_t4 		it's hot with fire , I think you're right .
_t4 		yes .
_t4 		that is why he's saying hel(p) +//.
_t4 		help . 
_t4 		I'm taping .
_t4 		dyou [: do you] wanna turn it off ? 
_t4 		that's +/.
_t4 		that raccoon is a brave firefighter .
_t4 		she's putting on her pants to help put out the fire .
_t4 		you can't put out a fire if you're not wearing any pants . 
_t4 		I think you could put +//.
_t4 		put out a fire without pants . 
_t4 		that's true , your pants would get hot with fire . 
_t4 		yep [: yes] , yep [: yes] .
_t4 		he is , looks like he's also gonna spray the water on the pig . 
_t4 		he's +/.
_t4 		she's gonna get wet .
_t4 		by accident . 
_t4 		that reminds me of the cherry picker we saw yesterday , dyou [: do you] remember that ? 
_t4 		o:h .
_t4 		we saw a huge (.) truck with a white ladder , and someone was way up high in the cherry picker . 
_t4 		was it an electrical truck or a telephone truck ? 
_t4 		utility wires truck .
_t4 		mmmm .
_t4 		utility wires truck . 
_t4 		dyou [: do you] remember +/?
_t4 		they were fixing the utility wires . 
_t4 		oh this is the fixer upper page , we did this page awhile ago . 
_t4 		there were lots_of things here weren't there ? 
_t4 		he's practically drowning in the basement . 
_t4 		oh dear . 
_t4 		cause [: because] there's a leak . 
_t4 		that's a plumber . 
_t4 		a leak in the pipes ! 
_t4 		he has a wrench . 
_t4 		he's fixing the furnace .
_t4 		he's wearing overalls . 
_t4 		he is . 
_t4 		mmmm+hmmm .
_t4 		yes .
_t4 		he's a paper hanger . 
_t4 		dyou [: do you] see any painters ? 
_t4 		mmmm+hmmm . 
_t4 		yep [: yes] .
_t4 		I think he's fixing the , the lock of , on the door , yeah . 
_t4 		he's the locksmith . 
_t4 		he is . 
_t4 		yeah , yeah . 
_t4 		when did that start I didn't +//.
_t4 		I'm just noticing it now .
_t4 		that (.) dog , which dog ? 
_t4 		oh that's a chimney sweep , he's fixing the chimney . 
_t4 		cleaning it . 
_t4 		oh it could be . 
_t4 		your runny nose .
_t4 		mmmm .
_t4 		mmmm that's one of the sitters ? 
_t4 		think it's a +...
_t4 		is that a hyena ?
_t4 		or a leopard ? 
_t4 		looks like a leopard . 
_t4 		xxx spots . 
_t4 		cheetah has spots too . 
_t4 		o:h .
_t4 		o:h .
_t4 		these are all wood workers !
_t4 		they're making things out of wood ! 
_t4 		what are they making ? 
_t4 		mmmm+hmmm .
_t4 		that rabbit is +... 
_t4 		finishing (.) a table +... 
_t4 		that rabbit made a table , and she's making the top of it very flat and smooth . 
_t4 		that's called a power sander . 
_t4 		that +//.
_t4 		power sander +//.
_t4 		that makes the top of the wood smoo:th . 
_t4 		really soft .
_t4 		very smooth and flat . 
_t4 		oh yes that power sander uses electricity . 
_t4 		yeah , so it's plugged into the wall . 
_t4 		electricity .
_t4 		mmmm+hmmm . 
_t4 		that's right . 
_t4 		that's right .
_t4 		mmmm you were using +//.
_t4 		you were using screws +... 
_t4 		yesterday , weren't you . 
_t4 		yeah .
_t4 		you did help put together your bed , all three of us helped to put it together . 
_t4 		yeah it was fun .
_t4 		yep [: yes] .
_t4 		allen wrenches , that's right .
_t4 		that's right . 
_t4 		that cat is standing on a ladder +... 
_t4 		hammering a nail with a re:d hammer ! 
_t4 		I think it's making (.) a +...
_t4 		wooden house . 
_t4 		and he's making the roof of the house . 
_t4 		oh .
_t4 		he's making the roof . 
_t4 		mmmm+hmmm .
_t4 		building the roof . 
_t4 		mmmm+hmmm . 
_t4 		that chicken is on top of that farmer's head . 
_t4 		cow is looking at that pig farmer . 
_t4 		okay I think it's sufficiently close to bedtime that (.) we should turn these +... 
_t4 		tapes off .
_t4 		xxx mess with your bagel , okay . 
_t4 		xxx . 
_t4 		now . 
_t4 		you wanted some garlic hummus with a spoon . 
_t4 		I think you almost finished that garlic hummus up last night , but there might be a little bit left . 
_t4 		today is +... 
_t4 		Monday +... 
_t4 		May +... 
_t4 		nineteenth , and +... 
