_t4 		today is August sixteenth . 
_t4 		what ,  , are you okay ? 
_t4 		be a little careful there , boo .
_t4 		yeah .
_t4 		you need a little help there I think , be careful . 
_t4 		miss athlete .
_t4 		what was she eating , was she eating seeds too , or was she eating something else ?
_t4 		what was genaba eating ? 
_t4 		the stamp ?
_t4 		is that was what genaba was eating ? 
_t4 		xxx , who did we have visiting us ? 
_t4 		with visitors , ye:s .
_t4 		visit us . 
_t4 		who did we have , who were the , who was visiting us ? 
_t4 		two people .
_t4 		badega was visiting us , who else was visiting us ?
_t4 		animals , yeah .
_t4 		what about the people , what were their names ? 
_t4 		Alan was making a noise when they came to visit us .
_t4 		Alan was using the mowing machine outside (.) when (.) Cecilia and Michelle came to visit us . 
_t4 		that's right . 
_t4 		Cecilia and Michelle were their names . 
_t4 		thank you .
_t4 		the animals visited us too , that's right .
_t4 		you are really (.) something .
_t4 		you are somethin [: something] . 
_t4 		you are somethin [: something] , you know who's gonna come home now to see you ?
_t4 		yeah .
_t4 		Daddy's gonna come home .
_t4 		and he's gonna drive his car into the driveway . 
_t4 		and he's gonna shut the door of his car , clunk . 
_t4 		and he's gonna come into the house and say , what does he say when he comes home ?
_t4 		is that what he says , he says toes ?
_t4 		what does Daddy say when he comes home ? 
_t4 		what kind of thing does he +..?
_t4 		ribbon on your feet ? 
_t4 		does Daddy say hi Naima ? 
_t4 		does he say boo+boo ? 
_t4 		sometimes he says boo+boo +... 
_t4 		when Daddy comes home .
_t4 		follow baby Alex Daddy ?
_t4 		you're giving me the ribbon to wear ? 
_t4 		where should I wear it ? 
_t4 		should I wear it on my head ? 
_t4 		Alan was making a big noise with the mowing machine . 
_t4 		that was the mower , he was cutting the grass with the mower , remember ?
_t4 		Alan was cutting the grass with the mower . 
_t4 		the mower has little knives underneath it .
_t4 		and the little knives cut the grass . 
_t4 		Alan , Alan drives the mower like a motorcycle , and it's very loud !
_t4 		wasn't it loud ? 
_t4 		it was loud .
_t4 		Alan rides the mower .
_t4 		yup [: yes] , yup [: yes] , he cuts the grass .
_t4 		mats ?
_t4 		mints , mutts . 
_t4 		what ?
_t4 		what is +...
_t4 		what are you saying ?
_t4 		mutts , what's that ?
_t4 		what are you saying ?
_t4 		careful , boo . 
_t4 		what's noisy ? 
_t4 		the fan is noisy right now . 
_t4 		Alan was noisy , yes , he was .
_t4 		make noise , yeah .
_t4 		yeah , the parrot puppet is under that bucket .
_t4 		is that parrot hiding in that container ? 
_t4 		ah , hi parrot . 
_t4 		no , I heard that noise too , that noise was just the wind and the paper .
_t4 		that noise was the wind and the paper . 
_t4 		hello parrot .
_t4 		we're kissing the parrot . 
_t4 		ding dong bell ?
_t4 		yeah , the bell went ding dong , it was  .
_t4 		she rang the bell and it went di:ng do:ng .
_t4 		ding dong went the bell .
_t4 		xxx rang the bell , she doesn't usually ring the bell , does she ?
_t4 		we don't hear the bell very much , most people don't ring the bell . 
_t4 		shall I put the ribbon in the bucket ? 
_t4 		I'm going to hide something under that container . 
_t4 		ah .
