_t4 		what did you do ? 
_t4 		you did the duck puzzle ! 
_t4 		okay , I'm gonna watch you do it . 
_t4 		hey , you did it ! 
_t4 		I'm on f one . 
_t4 		and you need this clipped . 
_t4 		what ever happened to that little purple and pink pouch that you had ? 
_t4 		do you remember ? 
_t4 		it's so little it gets misplaced . 
_t4 		look at this . 
_t4 		xxx . 
_t4 		you look like a little doctor with a beeper ! 
_t4 		no ? 
_t4 		okay , you can go to bed . 
_t4 		you having a backwards day ?
_t4 		I'll do a quick buckling in .
_t4 		no , I'm not gonna drive . 
_t4 		I'm gonna sort the books .
_t4 		okay , I'm gonna buckle you in . 
_t4 		xxx . 
_t4 		okay , you're all buckled i:n . 
_t4 		you're a buckled in girl .
_t4 		are you making the car noise yourself ?
_t4 		who's in her bed at the hospital ? 
_t4 		Isabelle ?
_t4 		I see .
_t4 		o:h . 
_t4 		Emma: ! 
_t4 		are you in the hospital , Emma ? 
_t4 		taped up ears ? 
_t4 		oh , did you take that off ? 
_t4 		come here .
_t4 		how did you take that off all by yourself ? 
_t4 		what kinds of medicine did you take , Isabelle ? 
_t4 		she slept ? 
_t4 		today is Friday , June fourth , two+thousand+four . 
_t4 		Isabelle scratched on the wall . 
_t4 		that's cause she hasn't had her second breakfast yet . 
_t4 		Isabelle , would you like a new puzzle ? 
_t4 		it has a certain somebody on it that you like . 
_t4 		wanna do it together ? 
_t4 		let's [: let us] do it in the hall . 
_t4 		what kind of a creature is that ? 
_t4 		yeah .
_t4 		yep [: yes] . 
_t4 		now , we can put it together , but you know , we're gonna have_to take it up so the floor can be washed a little later . 
_t4 		should we do it somewhere where we don't have_to pick it up ? 
_t4 		instead ?
_t4 		I wonder how big it is . 
_t4 		lemme [: let me] just see .
_t4 		finished size , ten+and+a+third by fourteen+and+a+half .
_t4 		I wonder if we had a really big board we could use it . 
_t4 		I have an idea .
_t4 		I have a tray we could do it in .
_t4 		whoop , did that come off ? 
_t4 		here , lemme [: let me] fix it .
_t4 		well +... 
_t4 		I'm gonna put it on your bottom . 
_t4 		turn around .
_t4 		you know what I was thinking ? 
_t4 		I was thinking a little later if you want we could go to Earthly Delights for you second breakfast .
_t4 		would you like that ?
_t4 		xxx .
_t4 		really ? 
_t4 		she could come . 
_t4 		that way , we can move it around and take it off the floor when we're done . 
_t4 		see this little tray with the elephants on it ? 
_t4 		I'm gonna go get the tape (.) recorder and bring it in here . 
_t4 		here are all the pieces . 
_t4 		spread them all out and put them all face+up . 
_t4 		lemme [: let me] +//. 
_t4 		I'll be right back , Emma .
_t4 		let's [: let us] see . 
_t4 		no , we're gonna do it together . 
_t4 		where's my mic ? 
_t4 		here it is .
_t4 		yeah , we'll do it together .
_t4 		um , it's plastic actually . 
_t4 		it's plastic .
_t4 		all+right , let's [: let us] look at that picture that it's supposed to look like . 
_t4 		like that , okay .
_t4 		mmmm+hmmm . 
_t4 		mmmm , this looks like kind+of a hard puzzle . 
_t4 		I'm going to .
_t4 		let's [: let us] see . 
_t4 		you know what the easiest place to start I think would be ?
_t4 		see how there's pink flowers only on the left side of the picture ? 
_t4 		why don't we find all the pieces that have part of the pink flower in them ?
_t4 		yeah !
_t4 		well put it on the tray . 
_t4 		we're gonna make it on the tray so that we can move it when we're done if we want to .
_t4 		here +//. 
_t4 		oh that's a bird .
_t4 		there's pink flower .
_t4 		here's some pink flower . 
_t4 		here's some too .
_t4 		first I'm just finding all the pieces . 
_t4 		up , there's a tiny bit of pink flower in that piece .
_t4 		teeny tiny . 
_t4 		this puzzle has sixty pieces ! 
_t4 		hey , you did it ! 
_t4 		you put three of the pink flower pieces together . 
_t4 		well , this needs to be an edge , doesn't it ? 
_t4 		what about this ? 
_t4 		excuse me , your hair and head is right in the way . 
_t4 		I can't see the puzzle at all .
_t4 		thank+you . 
_t4 		there . 
_t4 		see , that's that edge . 
_t4 		and here's a bud . 
_t4 		where's this flower bud in the picture ? 
_t4 		is it +//? 
_t4 		oh , it's down there .
_t4 		so , I think this is a bottom piece .
_t4 		o:h , good .
_t4 		that's good . 
_t4 		up , here's another flower piece .
_t4 		oh , you made it connect . 
_t4 		this one goes down here because it's this bud .
_t4 		there's two birds , so let's [: let us] look for +/.
_t4 		let's find all the bird pieces next .
_t4 		oops , sorry .
_t4 		I just put all the bird pieces in one spot for now .
_t4 		uh , sorry . 
_t4 		bird mird ? 
_t4 		xxx .
_t4 		he:y , we got a lot of pieces together .
_t4 		xxx .
_t4 		some fruit of some kind . 
_t4 		now , let's [: let us] see . 
_t4 		there's a bird near this petal .
_t4 		I think , is it +//? 
_t4 		yeah , this bird must be near this .
_t4 		and this bird should have more bird body .
_t4 		does this go to this ? 
_t4 		I think this part +... 
_t4 		this is this other bird .
_t4 		let's [: let us] find the birds . 
_t4 		mmmm . 
_t4 		I think that goes there . 
