_d4399 		September +... 
_d4399 		we moved yesterday .
_d4399 		Naima , where did we move to ?
_d4399 		where did we move to , Naima ? 
_d4399 		yeah the new house . 
_d4399 		I'm not sure why that's blinking . 
_d4399 		mmmm+hmmm .
_d4399 		it's blinking . 
_d4399 		Naima still needs her microphone . 
_d4399 		but right now we're in the old house !
_d4399 		we're sleeping in the old house , all our stuff is the in the new house . 
_d4399 		yup [: yes] , we need to put this on now .
_d4399 		Naima , what was there on the car this morning when we went outside ?
_d4400 		do you remember what we saw on the car , you said rain . 
_d4400 		but Mommy said it's not rain , it's something else . 
_d4400 		and Naima knew what it was because Naima said +... 
_d4400 		dew , except she said dew because Daddy is Canadian and Daddy says dew instead of dew . 
_d4400 		and we talked about that .
_d4400 		why is that red ?
_d4400 		why is that red ? 
_d4400 		on , on . 
_d4400 		oh , gosh ,  (be)cause that's not plugged in right . 
_d4400 		dew . 
_d4400 		okay , I don't know if the rest recorded . 
_d4400 		and that's still red .
_d4400 		and why would that be ?
_d4400 		now it's green .
_d4400 		so today is September eighteenth , and we moved yesterday and we're in the old house and all our stuff is in the new house . 
_d4400 		and here we are sleeping on a mattress on the floor , and +... 
_d4400 		the old house .
_d4400 		mattress , that's the mattress . 
_d4400 		that's the mattress we slept on last night , that's our mattress . 
_d4400 		and today is September eighteenth , did I say that , it's Wednesday , and Mommy and Naima went to a restaurant for breakfast . 
_d4400 		mmmm , what did we do at the restaurant , do you remember ? 
_d4400 		what things , what things ?
_d4400 		did we eat things ? 
_d4400 		just like that , huh ? 
_d4400 		there's the friends .
_d4400 		and this morning , let's talk about all the sentences you're saying . 
_d4400 		this morning , Naima said Daddy made a tower because there was a tower of books in the room . 
_d4400 		And we woke up and we saw it and Naima said Daddy made a tower .
_d4400 		and you said some other sentence today . 
_d4400 		you've been saying has and is a lot . 
_d4400 		you said those sentences , yeah , that's where mine are . 
_d4400 		actually , did you say Daddy is a man ? 
_d4400 		no , maybe I'm getting that wrong . 
_d4400 		something like that . 
_d4400 		like that .
_d4400 		you today ,  , there's dew today .
_d4401 		Daddy says it like this , dew . 
_d4401 		Naima says , what does Naima say ? 
_d4401 		do you say dew or dew ? 
_d4401 		mmmm , Caetano visited us awhile ago . 
_d4401 		he came to our house to visit awhile ago . 
_d4401 		can you bring the friends down here to play ? 
_d4401 		I see Emily up there and I see the guy .
_d4401 		oh , this is Emily , I see Lucy up there , I mean . 
_d4401 		friend Lucy is still up there . 
_d4401 		Emily Mommily , that's her full name . 
_d4401 		name , yeah ,  , she's standing right next to Lucy . 
_d4401 		what did Emily Mommily say ? 
_d4401 		oh , you're putting the sticker on her head , I see . 
_d4401 		she has a sticker right on her head . 
_d4401 		what did we do yesterday , what happened yesterday ? 
_d4401 		new house , yeah . 
_d4401 		we spent the day moving our stuff at the new house .
_d4401 		who helped us Naima ? 
_d4401 		guys .
_d4401 		guys helped us , that's right ! 
_d4401 		guys helped us at the new house move our stuff right ? 
_d4401 		what did they have with them ? 
_d4401 		what did they use ?
_d4401 		what did they use to move the stuff ?
_d4401 		do you remember ? 
_d4401 		Daddy ?
_d4401 		yeah , they used dollies to move the stuff , but I was thinking of something else that they used . 
_d4401 		also , they also used something with a rainbow on it , what did they use ? 
_d4401 		mmmm , klunk .
_d4401 		we watched these things go by . 
_d4401 		what did they use , what did they drive ? 
_d4401 		they drove a car , the guys ? 
_d4401 		what had the rainbow on it ? 
_d4401 		we saw rainbows yesterday , right ? 
_d4401 		where were the rainbows ?
_d4401 		yeah , how many trucks were there ? 
_d4401 		three trucks ? 
_d4401 		oh , I think there were two trucks , there were two trucks , two trucks that had rainbows . 
_d4401 		are you looking at the camera ? 
_d4401 		can you leave it there please ? 
_d4401 		should we get more stickers ?
_d4401 		crayon ?
_d4401 		camera half , no we are going to leave the camera right here . 
_d4401 		would you like to draw ? 
_d4401 		oh , let's come over here .
_d4401 		okay .
_d4402 		do you want the red one ? 
_d4402 		okay , all+right .
_d4402 		what should we draw ? 
_d4402 		are we gonna draw a picture ? 
_d4402 		oh purple stripes , purple ,  . 
_d4402 		mmmm , that looks good . 
_d4402 		mmmm , we moved yesterday . 
_d4402 		we moved our stuff . 
_d4402 		are your ,  , are your booties too snug ? 
_d4402 		no , okay , (be)cause if they're too snug , we can take them off ,  , drawing with the crayon . 
_d4402 		I'm gonna write Naima's name . 
_d4402 		n: . 
_d4402 		o ? 
_d4402 		okay , you write too .
_d4402 		n , a ,  nice blue line , a , i , you're writing too , you're writing your name , m , a . 
_d4402 		the red one's right there . 
_d4402 		there's your name . 
_d4402 		mmmm , yeah that's brown , this is the black one , you can have the black one . 
_d4402 		there's the brown one , I'll hold the brown one for you . 
_d4402 		and I'll hold the red one for you , there's the blue one . 
_d4402 		and I'll hold the blue one for you . 
_d4402 		there's the orange one , I think I'm gonna keep writing . 
_d4402 		I'm going to write  . 
_d4402 		are you gonna write  too ?
_d4402 		okay , have the black crayon .
